Loaded TRU codes: 3435
[262/3435] 273213.700.000127: parsed=0 listed_total=0 aggregate_rows=113
[263/3435] 273213.700.000125: parsed=0 listed_total=0 aggregate_rows=113
[264/3435] 273213.700.000128: parsed=0 listed_total=0 aggregate_rows=113
[265/3435] 273213.700.000126: parsed=0 listed_total=0 aggregate_rows=113
[266/3435] 273213.700.000287: parsed=0 listed_total=0 aggregate_rows=113
[267/3435] 273213.700.000173: parsed=0 listed_total=0 aggregate_rows=113
[268/3435] 273213.700.000278: parsed=1 listed_total=1 aggregate_rows=114
[269/3435] 273213.700.000301: parsed=0 listed_total=0 aggregate_rows=114
[270/3435] 273213.700.000299: parsed=1 listed_total=1 aggregate_rows=115
[271/3435] 273211.300.000011: parsed=0 listed_total=0 aggregate_rows=115
[272/3435] 273213.700.000343: parsed=0 listed_total=0 aggregate_rows=115
[273/3435] 273211.300.000008: parsed=0 listed_total=0 aggregate_rows=115
[274/3435] 273213.700.000300: parsed=0 listed_total=0 aggregate_rows=115
[275/3435] 273213.700.000186: parsed=0 listed_total=0 aggregate_rows=115
[276/3435] 273213.700.000182: parsed=0 listed_total=0 aggregate_rows=115
[277/3435] 273213.700.000189: parsed=0 listed_total=0 aggregate_rows=115
[278/3435] 273213.730.000162: parsed=0 listed_total=0 aggregate_rows=115
[279/3435] 273213.700.000159: parsed=0 listed_total=0 aggregate_rows=115
[280/3435] 273213.700.000162: parsed=0 listed_total=0 aggregate_rows=115
[281/3435] 273213.700.000180: parsed=0 listed_total=0 aggregate_rows=115
[282/3435] 273213.700.000181: parsed=0 listed_total=0 aggregate_rows=115
[283/3435] 273213.700.000170: parsed=0 listed_total=0 aggregate_rows=115
[284/3435] 273213.700.000223: parsed=0 listed_total=0 aggregate_rows=115
[285/3435] 273213.700.000008: parsed=0 listed_total=0 aggregate_rows=115
[286/3435] 273213.730.000025: parsed=0 listed_total=0 aggregate_rows=115
[287/3435] 273213.700.000163: parsed=0 listed_total=0 aggregate_rows=115
[288/3435] 273213.700.000164: parsed=0 listed_total=0 aggregate_rows=115
[289/3435] 273213.700.000044: parsed=0 listed_total=0 aggregate_rows=115
[290/3435] 273213.730.000056: parsed=0 listed_total=0 aggregate_rows=115
[291/3435] 273213.700.000334: parsed=0 listed_total=0 aggregate_rows=115
