№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
73340555-ОК1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",14859340-1 Приобретение труба полиэтилен d 500 мм,Труба для водоснабжения,320,17 088 000.00,Открытый конкурс,Закупка состоялась
73989512-ОК1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",14474161-1 Труба полиэтиленовая для водоснабжения,Труба для водоснабжения,1440,76 711 680.00,Открытый конкурс,Закупка состоялась
73990748-ОК1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",14863255-1 Труба полиэтиленовая для водоснабжения,Труба для водоснабжения,1440,76 711 680.00,Открытый конкурс,Закупка состоялась
73992338-ОК1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",14443825-1 Труба полиэтиленовая для водоснабжения,Труба для водоснабжения,1440,76 711 680.00,Открытый конкурс,Закупка состоялась
76836813-ОК1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",13784273-1 Трубы полиэтиленовые 100 SDR 17,Труба для водоснабжения,888,35 910 720.00,Открытый конкурс,Закупка состоялась
79671516-ЗЦП1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",15070790-1 Материалы для авариного сброса ТОО Балхаш СУ 87713534282,Труба для водоснабжения,330,21 450 000.00,Запрос ценовых предложений,Закупка состоялась
80491402-ОК1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",15555235-1 Государственные закупки для КГП «Атырау облысы Су Арнасы» государственного учреждения «Управление энергетики и жилищно-коммунального хозяйства Атырауской области»,Труба для водоснабжения,1000,36 428 570.00,Открытый конкурс,Закупка состоялась
81110490-ОК1,222121.530.010072,"Труба для водоснабжения полиэтиленовая, диаметр 451-500 мм",15757554-1 Труба полиэтиленовая для водоснабжения,Труба для водоснабжения,1602,53 798 364.00,Открытый конкурс,Закупка состоялась
78136875-ЗЦП2,222121.530.010074,"Труба для водоснабжения полиэтиленовая, диаметр 551-600 мм",14336466-1 Приобретение товара труба для водоснабжения,Труба для водоснабжения,620,31 000 000.00,Запрос ценовых предложений,Закупка состоялась
79673848-ОК1,222121.530.010074,"Труба для водоснабжения полиэтиленовая, диаметр 551-600 мм",15137186-1 Государственные закупки согласно конкурсной документации/,Труба для водоснабжения,1800,128 635 722.00,Открытый конкурс,Закупка состоялась
35127904-ОЛ-ОК2,222121.530.010075,"Труба для водоснабжения полиэтиленовая, диаметр 601-650 мм",14427326-1 закуп полиэтиленовых труб,закуп полиэтиленовых труб,8,16 504 225.92,Открытый конкурс,Закупка состоялась
