№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
79711408-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15546739-2 Организация облачной инфраструктуры,Услуги облачного сервиса,1,22 043 563.00,Открытый конкурс,Закупка состоялась
79711607-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,37 730 000.00,Открытый конкурс,Закупка состоялась
79711682-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,37 730 000.00,Открытый конкурс,Закупка состоялась
79711728-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,21 593 000.00,Открытый конкурс,Закупка состоялась
79711770-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,37 730 000.00,Открытый конкурс,Закупка состоялась
79711784-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,37 730 000.00,Открытый конкурс,Закупка состоялась
79711843-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,37 730 000.00,Открытый конкурс,Закупка состоялась
79711853-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,37 730 000.00,Открытый конкурс,Закупка состоялась
79711894-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,21 593 000.00,Открытый конкурс,Закупка состоялась
79711906-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15722404-1 Государственная закупка услуг по летной проверке по вводной программе оборудования РТОП,Услуги по аттестации оборудования/инструментов,1,37 730 000.00,Открытый конкурс,Закупка состоялась
79712366-КРБС2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15439105-1 Инжиниринговые услуги по техническому надзору по работам по строительству улицы Қ. Аманжолова от улицы Райымбек батыра до улицы Ш. Қалдаяқова в г. Астана,Услуги по осуществлению технического надзора в сфере строительной деятельности,1,22 550 485.00,Конкурс с использованием рейтингово-балльной системы,Закупка состоялась
79713673-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15428554-2 Работы по текущему ремонту отдельных элементов нежилых зданий/сооружений/помещений,Работы по текущему ремонту отдельных элементов нежилых зданий/сооружений/помещений,1,46 877 500.00,Открытый конкурс,Закупка состоялась
79713700-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15429011-2 Работы по текущему ремонту отдельных элементов нежилых зданий/сооружений/помещений,Работы по текущему ремонту отдельных элементов нежилых зданий/сооружений/помещений,1,23 146 428.00,Открытый конкурс,Закупка состоялась
79714723-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062","15440285-2 Санаторно-курортного лечения ветеранам ВОВ, ветеранам труда, тыловикам и пенсионерам Келесского района согласно конкурсной документации",Услуги по санаторно-курортному лечению/лечебно-оздоровительного отдыха,1,40 000 000.00,Открытый конкурс,Закупка состоялась
79715112-ОИ3,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15720912-1 Приобретение дизельного топлива,Топливо дизельное,243375,73 881 348.75,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79715977-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15436496-1 Государственные закупки для ГУ «Департамент полиции города Алматы Министерства внутренних дел Республики Казахстан» способом открытого конкурса,Компьютер,634,212 276 786.62,Открытый конкурс,Закупка состоялась
79718418-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15658758-1 Государственный закуп - диск щеточный для снегоуборочной техники,Диск щеточный,30000,30 360 000.00,Открытый конкурс,Закупка состоялась
79720869-ТРБС2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15739285-1 Повторные электронные закупки услуг по техническому надзору по объектам среднего ремонта автомобильных дорог республиканского значения Улытауской области (2 лота) способом тендера с использованием рейтингово-балльной системы,Услуги по осуществлению технического надзора в сфере строительной деятельности,1,66 790 583.00,Тендер с использованием рейтингово-балльной системы,Закупка состоялась
79721125-ТРБС2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15739285-1 Повторные электронные закупки услуг по техническому надзору по объектам среднего ремонта автомобильных дорог республиканского значения Улытауской области (2 лота) способом тендера с использованием рейтингово-балльной системы,Услуги по осуществлению технического надзора в сфере строительной деятельности,1,61 605 733.00,Тендер с использованием рейтингово-балльной системы,Закупка состоялась
79721805-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15728672-1 Государственные закупки услуг по управлению IT-инфраструктурой,Услуги по управлению IT-инфраструктурой,1,44 922 000.00,Открытый конкурс,Закупка состоялась
