№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
81331182-ОИ4,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15864272-1 Услуги по финансовому лизингу на приобретение транспортных средств (компактная подметально-уборочная машина),Услуги по финансовому лизингу,1,595 472 124.41,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80373779-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15863665-1 О проведении повторной государственной закупки товара для РГП на ПХВ “Казаэронавигация” Комитета гражданской авиации Министерства транспорта Республики Казахстан способом открытого конкурса,Топливо дизельное,483606,256 311 180.00,Открытый конкурс,Закупка состоялась
81447208-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15862169-1 Услуги по финансовому лизингу (Подметально-уборочная машина),Услуги по финансовому лизингу,1,762 436 281.25,Из одного источника по несостоявшимся закупкам,Закупка состоялась
81447910-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15862169-1 Услуги по финансовому лизингу (Подметально-уборочная машина),Услуги по финансовому лизингу,1,595 472 124.41,Из одного источника по несостоявшимся закупкам,Закупка состоялась
81067849-ОИнеГЗ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15861277-1 Закуп дизельного топлива летнего,Топливо дизельное,620000,181 015 200.00,Из одного источника по несостоявшимся закупкам не ГЗ,Закупка состоялась
81067850-ОИнеГЗ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15861277-1 Закуп дизельного топлива летнего,Топливо дизельное,620000,181 015 200.00,Из одного источника по несостоявшимся закупкам не ГЗ,Закупка состоялась
81067851-ОИнеГЗ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15861277-1 Закуп дизельного топлива летнего,Топливо дизельное,620000,181 015 200.00,Из одного источника по несостоявшимся закупкам не ГЗ,Закупка состоялась
81067852-ОИнеГЗ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15861277-1 Закуп дизельного топлива летнего,Топливо дизельное,620000,181 015 200.00,Из одного источника по несостоявшимся закупкам не ГЗ,Закупка состоялась
80807707-ЗЦП2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15860394-1 Работы по проведению текущего ремонта помещения компьютерного томографа,Работы по текущему ремонту нежилых зданий/сооружений/помещений,1,17 556 199.00,Запрос ценовых предложений,Закупка состоялась
80652679-КРБС1,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15859991-1 Разработка ПСД на строительство учебно-производственных мастерских на территории ГККП «АТКС» УОМО, расположенного по адресу: Мангистауская область, город Актау, 27 микрорайон, здание №58",Работы по разработке/расчету/составлению проектно-сметной документации,1,31 899 059.00,Конкурс с использованием рейтингово-балльной системы,Закупка состоялась
81295648-ЗЦП2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15859064-1 Приобретение мини погрузчика,Погрузчик,1,15 357 142.86,Запрос ценовых предложений,Закупка состоялась
82076755-ОИ2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15858954-1 Государственная закупка для КГП на ПХВ «Жанакорганская районная ветеринарная станция» управления ветеринарии Кызылординской области»,Автомобиль,1,17 790 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
81596068-ОИ3,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой",15858473-1 услуги по страхованию жизни сотрудников от несчастного случая,Услуги по страхованию от несчастных случаев,1,18 286 481.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
81557862-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15857607-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557854-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15857607-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557856-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15857607-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557845-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15857607-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557837-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15857602-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557828-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15857602-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557826-ОК2,259411.900.000202,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 14 мм, с гайкой","15857602-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
