№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
81557831-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857602-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557835-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857602-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558467-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857597-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558457-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857597-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558465-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857597-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558460-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857597-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558464-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857597-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81557812-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857590-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558454-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857590-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558453-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857590-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
81558456-ОК2,259411.900.000201,"Шпилька для фланцевых соединений с уплотнением стальная, диаметр 20 мм, с гайкой","15857590-1 Государственные закупка для Коммунальное государственное учреждение ""Отдел строительства, архитектуры и градостроительства Кармакшинского района""",Квартира,1,16 503 183.33,Открытый конкурс,Закупка состоялась
