№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
73714804-ОК3,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3","14387571-1 Экскаватор одноковшовый, на колесном ходу",Экскаватор,1,95 000 000.00,Открытый конкурс,Закупка состоялась
77412499-ОК1,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",14241938-1 Приобретение нового экскаватора,Экскаватор,1,62 723 214.29,Открытый конкурс,Закупка состоялась
74079814-ОК2,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",14237021-1 Приобретение специальной техники,Экскаватор,1,51 785 714.00,Открытый конкурс,Закупка состоялась
74509674-ОК3,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",14140651-1 Приобретение экскаватора согласно технической спецификации,Экскаватор,1,75 892 857.15,Открытый конкурс,Закупка состоялась
77193507-ОК2,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3","14126989-1 Экскаватор колесный в комплекте с гидромолотом, быстросъёмным механизмом",Экскаватор,1,94 190 846.00,Открытый конкурс,Закупка состоялась
73714804-ОК2,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3","14015198-1 Экскаватор одноковшовый, на колесном ходу",Экскаватор,1,95 000 000.00,Открытый конкурс,Закупка состоялась
77274660-ОК2,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3","13966676-2 Приобретение колесного экскаватора для ГКП ""Горводоканал""",Экскаватор,1,78 125 000.00,Открытый конкурс,Закупка состоялась
76608494-ОК1,289226.500.000000,"Экскаватор одноковшовый, на колесном ходу, емкость 0,1-15 м3",13773262-1 Экскаватор колесный с гидромолотом согласно технической спецификации,Экскаватор,1,67 321 428.57,Открытый конкурс,Закупка состоялась
80289343-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",15380608-1 Приобретение специальной автомобили для транспортировки пациентов,Автомобиль,15,812 400 000.00,Открытый конкурс,Закупка состоялась
76444215-ОК4,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",15164125-1 Приобретение специальной автомобили для транспортировки пациентов (повторная закупка),Автомобиль,15,812 400 000.00,Открытый конкурс,Закупка состоялась
79666446-ОК1,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов","15072748-1 Приобретение автомобиля скорой медицинской помощи для КГП на ПХВ ""Кызылжарская районная больница"" КГУ ""Управление здравоохранения акимата Северо-Казахстанской области""",Автомобиль,1,21 000 000.00,Открытый конкурс,Закупка состоялась
75909768-ЗЦП2,291059.999.000094,"Автомобиль специальный, класс A-для транспортировки пациентов",14969538-1 Приобретение специализированного автомобиля инватакси для перевозки для людей с ограниченными возможностями (инвалидностью),Автомобиль,1,25 500 000.00,Запрос ценовых предложений,Закупка состоялась
