№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
78665721-ЗЦП2,282922.100.000001,Огнетушитель порошковый,"14719903-1 Приобретение машин, оборудования, инструментов, производственного и хозяйственного инвентаря (порошковый огнетушитель)",Огнетушитель,6,54 000.00,Запрос ценовых предложений,Закупка состоялась
74117060-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14718756-1 Закуп огнетушителей и крепления к ним (г.Астана МТО),Огнетушитель,15,75 000.00,Запрос ценовых предложений,Закупка не состоялась
78613416-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14718593-1 Приобретение автономных модули пожаротушения – порошкового Тунгуса,Огнетушитель,13,715 000.00,Запрос ценовых предложений,Закупка не состоялась
72943637-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14718509-1 Повторный закуп огнетушителя порошкового ОП-5,Огнетушитель,150,1 339 285.50,Запрос ценовых предложений,Закупка состоялась
78905870-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14718435-1 Огнетушитель порошковый (ЦА)/,Огнетушитель,6,23 928.00,Запрос ценовых предложений,Закупка не состоялась
78917560-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14717318-1 Приобретение огнетушителей ОП-5,Огнетушитель,20,160 000.00,Запрос ценовых предложений,Закупка состоялась
76354802-ЗЦП4,282922.100.000001,Огнетушитель порошковый,14716698-1 Повторные государственные закупки пожарного инвентаря и первичных средств пожаротушения для филиалов РГП «Казаэронавигация»,Огнетушитель,4,17 600.00,Запрос ценовых предложений,Закупка не состоялась
78660987-ОИ3,282922.100.000001,Огнетушитель порошковый,14716534-1 Приобретение огнетушителей автомобильных,Огнетушитель,3,15 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78995020-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14716051-1 Приобретение огнетушителя для автомобиля,Огнетушитель,1,11 000.00,Запрос ценовых предложений,Закупка не состоялась
74413616-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14715916-1 Приобретение огнетушителей для колледжа,Огнетушитель,10,80 000.00,Запрос ценовых предложений,Закупка состоялась
77650375-ОИ4,282922.100.000001,Огнетушитель порошковый,14715457-1 Приобретение огнетушителей для центра,Огнетушитель,2,13 000.00,Из одного источника по несостоявшимся закупкам,Закупка не состоялась
78940323-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14715290-1 Перезарядка и поверки огнетушителей,Огнетушитель,1,300 000.00,Запрос ценовых предложений,Закупка не состоялась
78913766-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14713943-1 приобретение запстных частей для автотранспорта,Огнетушитель,5,26 250.00,Запрос ценовых предложений,Закупка не состоялась
78163007-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14713607-1 огнетушитель для автомобиля,Огнетушитель,1,4 000.00,Запрос ценовых предложений,Закупка не состоялась
74994362-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14713394-1 Приобретение огнетушителей согласно технической характеристике,Огнетушитель,15,171 428.55,Запрос ценовых предложений,Закупка не состоялась
